KeepRate,avg_time_per_turn(sec), wins,draws,rank
0.1 ,0.05  ,0  ,3 ,1.5
0.2 ,0.12  ,0  ,5 ,2.5
0.35,0.21  ,1  ,4 ,3
0.4 ,0.36  ,0  ,9 ,4.5
0.5 ,0.44  ,1  ,3 ,2.5
0.6 ,0.8  ,2  ,7 ,5.5
0.7 ,0.73  ,2  ,7 ,5.5

