KeepRate,avg_time_per_turn(sec), wins,draws,rank
0.1 ,2.43  ,1  ,2  ,3
0.2 ,22.91  ,2  ,4  ,4
0.35,122.33  ,3  ,5  ,5.5
0.4 ,135.12  ,4  ,5  ,6.5
0.5 ,NaN  ,0  ,0  ,0
0.6 ,NaN  ,0  ,0  ,0
0.7 ,NaN  ,0  ,0  ,0

