KeepRate,avg_time_per_turn(sec), wins,draws,rank
0.1 ,0.31  ,1 , 1  , 1.5
0.2 ,0.41  ,3 , 4  , 5
0.35,0.72  ,7 , 2  , 8
0.4 ,1.31  ,5 , 2  , 2.5
0.5 ,1.09  ,7 ,1  , 7.5
0.6 ,2.1  ,9 , 0  , 9
0.7 ,2.86  ,9 , 1  , 9.5

