teta,gama,wins,draws,rank
0.05,0.95,1,4,3
0.15,0.85,0,6,3
0.3,0.7,1,3,2.5
0.45,0.55,1,2,2
0.55,0.45,3,5,5.5
0.7,0.3,2,3,3.5
0.85,0.15,1,6,4
0.95,0.05,0,6,3
